Fecha;TRM
15/06/2021;$ 3,626.02
16/06/2021;$ 3,693.35
17/06/2021;$ 3,690.56
18/06/2021;$ 3,730.45
19/06/2021;$ 3,753.77
20/06/2021;$ 3,753.77
21/06/2021;$ 3,753.77
22/06/2021;$ 3,758.08
23/06/2021;$ 3,784.45
24/06/2021;$ 3,773.11
25/06/2021;$ 3,770.35
26/06/2021;$ 3,739.03
27/06/2021;$ 3,739.03
28/06/2021;$ 3,739.03
29/06/2021;$ 3,713.17
30/06/2021;$ 3,756.67
01/07/2021;$ 3,748.50
02/07/2021;$ 3,775.53
03/07/2021;$ 3,777.17
04/07/2021;$ 3,777.17
05/07/2021;$ 3,777.17
06/07/2021;$ 3,777.17
07/07/2021;$ 3,782.27
08/07/2021;$ 3,815.22
09/07/2021;$ 3,850.46
10/07/2021;$ 3,829.46
11/07/2021;$ 3,829.46
12/07/2021;$ 3,829.46
13/07/2021;$ 3,824.08
14/07/2021;$ 3,826.85
15/07/2021;$ 3,796.07
16/07/2021;$ 3,809.07
17/07/2021;$ 3,808.46
18/07/2021;$ 3,808.46
19/07/2021;$ 3,808.46
20/07/2021;$ 3,842.97
21/07/2021;$ 3,842.97
22/07/2021;$ 3,855.68
23/07/2021;$ 3,866.86
24/07/2021;$ 3,874.44
25/07/2021;$ 3,874.44
26/07/2021;$ 3,874.44
27/07/2021;$ 3,904.17
28/07/2021;$ 3,918.49
29/07/2021;$ 3,902.18
30/07/2021;$ 3,836.95
31/07/2021;$ 3,867.88
01/08/2021;$ 3,867.88
02/08/2021;$ 3,867.88
03/08/2021;$ 3,865.46
04/08/2021;$ 3,913.59
05/08/2021;$ 3,911.36
06/08/2021;$ 3,910.81
07/08/2021;$ 3,949.33
08/08/2021;$ 3,949.33
09/08/2021;$ 3,949.33
10/08/2021;$ 3,988.27
11/08/2021;$ 3,979.80
12/08/2021;$ 3,950.43
13/08/2021;$ 3,887.07
14/08/2021;$ 3,830.25
15/08/2021;$ 3,830.25
16/08/2021;$ 3,830.25
17/08/2021;$ 3,830.25
18/08/2021;$ 3,868.41
19/08/2021;$ 3,861.33
20/08/2021;$ 3,876.08
21/08/2021;$ 3,874.95
22/08/2021;$ 3,874.95
23/08/2021;$ 3,874.95
24/08/2021;$ 3,867.73
25/08/2021;$ 3,861.88
26/08/2021;$ 3,865.04
27/08/2021;$ 3,870.57
28/08/2021;$ 3,834.13
29/08/2021;$ 3,834.13
30/08/2021;$ 3,834.13
31/08/2021;$ 3,806.87
01/09/2021;$ 3,774.00
02/09/2021;$ 3,753.30
03/09/2021;$ 3,780.85
04/09/2021;$ 3,790.04
05/09/2021;$ 3,790.04
06/09/2021;$ 3,790.04
07/09/2021;$ 3,790.04
08/09/2021;$ 3,812.76
09/09/2021;$ 3,816.14
10/09/2021;$ 3,829.72
11/09/2021;$ 3,836.85
12/09/2021;$ 3,836.85
13/09/2021;$ 3,836.85
14/09/2021;$ 3,835.27
15/09/2021;$ 3,830.83
16/09/2021;$ 3,825.36
17/09/2021;$ 3,818.16
18/09/2021;$ 3,828.18
19/09/2021;$ 3,828.18
20/09/2021;$ 3,828.18
21/09/2021;$ 3,851.22
22/09/2021;$ 3,843.77
23/09/2021;$ 3,834.66
24/09/2021;$ 3,835.67
25/09/2021;$ 3,844.88
26/09/2021;$ 3,844.88
27/09/2021;$ 3,844.88
28/09/2021;$ 3,837.91
29/09/2021;$ 3,841.94
30/09/2021;$ 3,834.68
01/10/2021;$ 3,812.77
02/10/2021;$ 3,781.35
03/10/2021;$ 3,781.35
04/10/2021;$ 3,781.35
